scale,env,image1,image2,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,thisRow.t,notes,trial.started,text.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,NEP_scale.started,text_2.started,question.started,slider.started,NEP_scale.stopped,slider.response,slider.rt,env_prime.started,text_3.started,text_4.started,slider_2.started,env_prime.stopped,slider_2.response,slider_2.rt,env_decision_inst.started,text_5.started,key_resp_2.started,env_decision_inst.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,desicion.started,OptionA.started,optionB.started,key_resp_3.started,desicion.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,"Delhi's air quality continues to deteriorate, with recent spikes reaching hazardous levels. The city is frequently engulfed in toxic smog, leading to severe respiratory issues and other health problems for millions of residents.",,,,,,,0,4,4,5,,,,,284.7558355000001,,,,,,,,,,,,,,,,284.7301304000066,284.7558355000001,284.7558355000001,284.7558355000001,288.4313556000052,0.0,3.673481699996046,,,,,,,,,,,,,,,,ishbish,001,2024-11-22_13h24.12.496,environmental_priming,2024.1.5,None,2024-11-22 13h24.36.990274 +0530,
,"Excessive use of pesticides can lead to soil degradation, water pollution, and harm to beneficial insects and other organisms.",,,,,,,0,5,5,1,,,,,288.45085980000295,,,,,,,,,,,,,,,,288.4316370000015,288.45085980000295,288.45085980000295,288.45085980000295,294.6835399000047,0.0,6.228224699996645,,,,,,,,,,,,,,,,ishbish,001,2024-11-22_13h24.12.496,environmental_priming,2024.1.5,None,2024-11-22 13h24.36.990274 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294.68371760000446,294.69708510000055,294.69708510000055,313.68996880000486,space,18.98240860000078,None,,,,,,,,,ishbish,001,2024-11-22_13h24.12.496,environmental_priming,2024.1.5,None,2024-11-22 13h24.36.990274 +0530,
,,images/A_apple.png,images/B_Apple.png,,,,,,,,,0,0,0,0,313.78343830000085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313.695630000002,313.78343830000085,313.78343830000085,313.78343830000085,340.51787040000636,left,26.726789200001804,None,ishbish,001,2024-11-22_13h24.12.496,environmental_priming,2024.1.5,None,2024-11-22 13h24.36.990274 +0530,
,,images/A_bottle.png,images/B_bottle.png,,,,,,,,,0,1,1,1,340.5605919000009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340.51899740000226,340.5605919000009,340.5605919000009,340.5605919000009,347.52039490000607,right,6.944806599996809,None,ishbish,001,2024-11-22_13h24.12.496,environmental_priming,2024.1.5,None,2024-11-22 13h24.36.990274 +0530,
,,images/A_cloth.png,images/B_cloth.png,,,,,,,,,0,2,2,2,347.56418680000206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347.52126359999966,347.56418680000206,347.56418680000206,347.56418680000206,353.17287780000333,right,5.606045000000449,None,ishbish,001,2024-11-22_13h24.12.496,environmental_priming,2024.1.5,None,2024-11-22 13h24.36.990274 +0530,
,,images/A_detergent.png,images/B_detergent.png,,,,,,,,,0,3,3,3,353.2267592000062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353.17364510000334,353.2267592000062,353.2267592000062,353.2267592000062,364.0601007000005,left,10.83051720000367,None,ishbish,001,2024-11-22_13h24.12.496,environmental_priming,2024.1.5,None,2024-11-22 13h24.36.990274 +0530,
,,images/A_facewash.png,images/B_facewash.png,,,,,,,,,0,4,4,4,364.1031892000028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364.0608202000003,364.1031892000028,364.1031892000028,364.1031892000028,391.80434680000326,left,27.69734079999762,None,ishbish,001,2024-11-22_13h24.12.496,environmental_priming,2024.1.5,None,2024-11-22 13h24.36.990274 +0530,
,,images/A_Light_Bulb.png,images/B_Light_Bulb.png,,,,,,,,,0,5,5,5,391.848848200003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,391.80516320000606,391.848848200003,391.848848200003,391.848848200003,399.47387940000044,left,7.6077178999985335,None,ishbish,001,2024-11-22_13h24.12.496,environmental_priming,2024.1.5,None,2024-11-22 13h24.36.990274 +0530,
,,images/A_shopping.png,images/B_shopping.png,,,,,,,,,0,6,6,6,399.5145476000034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399.47486400000344,399.5145476000034,399.5145476000034,399.5145476000034,401.2079862000028,left,1.6801698000053875,None,ishbish,001,2024-11-22_13h24.12.496,environmental_priming,2024.1.5,None,2024-11-22 13h24.36.990274 +0530,
,,images/A_toothpaste.png,images/B_toothpaste.png,,,,,,,,,0,7,7,7,401.24885730000096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401.2088844000027,401.24885730000096,401.24885730000096,401.24885730000096,406.7770110000056,right,5.524317000003066,None,ishbish,001,2024-11-22_13h24.12.496,environmental_priming,2024.1.5,None,2024-11-22 13h24.36.990274 +0530,
,,images/A_transport.png,images/B_transport.png,,,,,,,,,0,8,8,8,406.827506600006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406.7777733000039,406.827506600006,406.827506600006,406.827506600006,420.63236580000375,left,13.799205700001039,None,ishbish,001,2024-11-22_13h24.12.496,environmental_priming,2024.1.5,None,2024-11-22 13h24.36.990274 +0530,
